2016-06-17 11:10:03 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:10:04 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:10:04 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:10:05 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:10:05 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:10:06 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:10:06 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:10:07 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:10:07 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:10:08 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:10:10 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:10:10 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:10:11 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:10:11 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:10:12 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:10:12 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:10:14 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:10:14 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:10:15 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:10:15 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:10:17 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:10:17 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:10:18 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:10:18 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:10:19 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:10:19 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:10:20 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:10:20 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:10:21 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:10:21 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:10:22 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:10:22 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:10:23 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:10:23 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:10:24 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:10:24 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:10:25 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:10:25 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:10:26 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:10:26 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:10:27 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:10:27 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:10:28 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:10:28 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:10:29 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:10:29 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:10:30 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
